country,year,attack_type,target_industry,financial_loss_million,affected_users,attack_source,vulnerability_type,defense_mechanism,resolution_time_hours,years_since_2015,loss_per_user_usd,impact_level
USA,2020,Phishing,Retail,99.64,464717,Insider,Weak Passwords,VPN,27.0,5,214.4100603162785,High
Russia,2018,SQL Injection,Education,1.25,351063,Nation-state,Weak Passwords,Firewall,56.0,3,3.5606144766039143,Low
Australia,2015,DDoS,Government,13.96,479025,Nation-state,Zero-day,Antivirus,54.0,0,29.142529095558686,Low
Germany,2021,DDoS,Banking,1.62,823004,Nation-state,Zero-day,Encryption,22.0,6,1.968398695510593,High
Russia,2021,DDoS,Education,18.47,394957,Hacker Group,Weak Passwords,Antivirus,27.0,6,46.76458449907205,Low
France,2019,Phishing,Telecommunications,28.88,96640,Unattributed,Social Engineering,Antivirus,60.0,4,298.841059602649,Low
Russia,2024,DDoS,Education,19.5,325634,Insider,Weak Passwords,Firewall,5.0,9,59.88318173163736,Low
France,2023,SQL Injection,Government,29.63,662667,Hacker Group,Zero-day,VPN,30.0,8,44.713257186490345,Medium
USA,2024,Phishing,IT,57.24,107681,Unattributed,Zero-day,VPN,18.0,9,531.570100574846,Medium
Russia,2017,Phishing,Banking,3.2,982243,Insider,Zero-day,Encryption,6.0,2,3.257849635986207,High
Japan,2022,SQL Injection,Government,79.19,950425,Unattributed,Social Engineering,Antivirus,54.0,7,83.32061972275561,High
Brazil,2017,Ransomware,Education,80.5,279808,Insider,Social Engineering,Antivirus,60.0,2,287.6972781335773,High
India,2024,SQL Injection,Telecommunications,71.2,190099,Unattributed,Zero-day,AI-based Detection,15.0,9,374.54168617404616,Medium
Brazil,2019,Malware,Government,12.04,713035,Nation-state,Social Engineering,AI-based Detection,59.0,4,16.885566627164163,Medium
Australia,2016,Malware,Retail,29.05,817347,Nation-state,Weak Passwords,Antivirus,68.0,1,35.541820059289385,High
Germany,2023,Ransomware,Healthcare,28.18,707214,Unattributed,Weak Passwords,AI-based Detection,11.0,8,39.84649625148823,Medium
UK,2016,DDoS,Retail,39.26,668780,Hacker Group,Zero-day,Firewall,33.0,1,58.70390860970723,Medium
Russia,2015,DDoS,Telecommunications,57.21,609196,Unattributed,Social Engineering,VPN,4.0,0,93.91066257821785,Medium
USA,2021,Man-in-the-Middle,Telecommunications,83.88,980367,Nation-state,Unpatched Software,Firewall,3.0,6,85.55979546435161,High
Russia,2022,Man-in-the-Middle,IT,84.1,919858,Nation-state,Unpatched Software,Encryption,47.0,7,91.42715506088983,High
France,2017,DDoS,Healthcare,39.49,195459,Hacker Group,Weak Passwords,Encryption,14.0,2,202.0372558950982,Low
Russia,2015,Man-in-the-Middle,Government,46.76,713342,Unattributed,Weak Passwords,Encryption,36.0,0,65.55060545993366,Medium
UK,2019,DDoS,Banking,80.68,19007,Nation-state,Unpatched Software,VPN,29.0,4,4244.751933498185,High
China,2022,Ransomware,Government,86.56,963091,Insider,Zero-day,VPN,37.0,7,89.8772805477364,High
UK,2017,Malware,Government,66.25,726887,Hacker Group,Social Engineering,Firewall,13.0,2,91.14208948571098,Medium
Russia,2021,DDoS,IT,78.76,130413,Unattributed,Social Engineering,Encryption,66.0,6,603.9275225629347,High
Germany,2017,Malware,Banking,97.68,906914,Hacker Group,Zero-day,AI-based Detection,15.0,2,107.7059125782599,High
China,2020,Ransomware,IT,14.94,557218,Nation-state,Zero-day,Firewall,70.0,5,26.811768464048182,Medium
Russia,2018,SQL Injection,Banking,59.29,380543,Unattributed,Weak Passwords,VPN,26.0,3,155.80368053018975,Medium
UK,2022,Malware,Retail,39.55,337363,Insider,Social Engineering,VPN,2.0,7,117.23277300711696,Low
China,2018,DDoS,IT,14.04,803086,Nation-state,Social Engineering,VPN,23.0,3,17.482561020862025,High
China,2024,Man-in-the-Middle,IT,63.79,195858,Hacker Group,Zero-day,Encryption,1.0,9,325.6951464836769,Medium
India,2019,Malware,Banking,37.03,358371,Insider,Weak Passwords,AI-based Detection,30.0,4,103.32867335805632,Low
Australia,2019,Phishing,Retail,9.12,212267,Insider,Zero-day,Antivirus,14.0,4,42.96475665082184,Low
France,2021,Man-in-the-Middle,Healthcare,52.04,757744,Nation-state,Zero-day,Antivirus,43.0,6,68.67754809012014,High
Japan,2017,Ransomware,Retail,59.13,747705,Insider,Unpatched Software,VPN,47.0,2,79.08199089212992,High
USA,2024,Phishing,Telecommunications,64.67,996651,Hacker Group,Weak Passwords,Encryption,69.0,9,64.88730759312939,High
UK,2015,Ransomware,Government,52.78,281905,Insider,Social Engineering,VPN,32.0,0,187.22619322112058,Medium
Brazil,2019,Man-in-the-Middle,Healthcare,7.44,739981,Unattributed,Social Engineering,Antivirus,54.0,4,10.05431220531338,Medium
France,2016,SQL Injection,Telecommunications,47.19,554448,Hacker Group,Social Engineering,Antivirus,31.0,1,85.11167864254178,Medium
USA,2016,Ransomware,Healthcare,99.19,745103,Insider,Unpatched Software,Encryption,8.0,1,133.1225347368082,High
India,2015,DDoS,Healthcare,10.94,600279,Insider,Unpatched Software,AI-based Detection,16.0,0,18.224858774003422,Medium
Russia,2016,Man-in-the-Middle,IT,48.86,973654,Unattributed,Unpatched Software,Encryption,23.0,1,50.182097541837244,High
China,2016,DDoS,Telecommunications,80.48,78123,Hacker Group,Social Engineering,Antivirus,50.0,1,1030.1703723615324,High
UK,2015,Man-in-the-Middle,Government,69.96,675955,Insider,Zero-day,Antivirus,60.0,0,103.49801392104504,Medium
China,2016,DDoS,IT,18.96,122866,Insider,Unpatched Software,VPN,46.0,1,154.31445639965492,Low
Russia,2018,Ransomware,Education,66.33,177570,Nation-state,Social Engineering,Encryption,72.0,3,373.5428281804359,Medium
France,2024,Man-in-the-Middle,Retail,60.4,774913,Unattributed,Unpatched Software,Antivirus,43.0,9,77.94423373978756,High
China,2024,Phishing,IT,24.92,852327,Unattributed,Zero-day,VPN,44.0,9,29.237604815991983,High
Australia,2019,DDoS,IT,32.06,775033,Hacker Group,Zero-day,Antivirus,8.0,4,41.36598054534453,High
China,2022,Phishing,Telecommunications,71.77,823093,Insider,Zero-day,Firewall,36.0,7,87.19549309737782,High
France,2018,Phishing,Government,70.59,947445,Insider,Social Engineering,Encryption,59.0,3,74.50564412709973,High
Japan,2018,DDoS,IT,75.34,972713,Unattributed,Unpatched Software,Encryption,71.0,3,77.45347291544371,High
France,2023,Malware,Banking,9.99,116840,Unattributed,Zero-day,Firewall,51.0,8,85.50154056829852,Low
USA,2021,Ransomware,Telecommunications,91.94,710953,Unattributed,Zero-day,Firewall,9.0,6,129.31937835553123,High
Russia,2015,DDoS,IT,66.09,467190,Nation-state,Social Engineering,AI-based Detection,25.0,0,141.46278815899313,Medium
Germany,2024,Phishing,Healthcare,66.73,540773,Unattributed,Unpatched Software,VPN,15.0,9,123.39743293396675,Medium
Australia,2018,SQL Injection,Banking,40.11,874040,Unattributed,Social Engineering,Firewall,6.0,3,45.89034826781383,High
Australia,2022,SQL Injection,Healthcare,60.71,8498,Nation-state,Weak Passwords,VPN,17.0,7,7144.033890327136,Medium
USA,2016,DDoS,IT,18.48,112881,Hacker Group,Social Engineering,VPN,32.0,1,163.7122279214394,Low
Japan,2018,DDoS,IT,9.9,942725,Insider,Zero-day,VPN,56.0,3,10.501471797183696,High
France,2024,Phishing,Education,52.03,168684,Nation-state,Unpatched Software,VPN,27.0,9,308.44656280382253,Medium
Japan,2018,DDoS,Telecommunications,25.06,559274,Hacker Group,Social Engineering,Firewall,27.0,3,44.80809048874076,Medium
UK,2016,Phishing,Retail,13.68,144856,Unattributed,Unpatched Software,Antivirus,13.0,1,94.43861490031479,Low
Japan,2015,Malware,Banking,2.63,418914,Nation-state,Unpatched Software,Firewall,53.0,0,6.27813823362313,Low
Brazil,2024,Phishing,Retail,88.47,842945,Hacker Group,Weak Passwords,Firewall,67.0,9,104.95346671491022,High
UK,2022,DDoS,Government,50.04,841198,Unattributed,Zero-day,VPN,41.0,7,59.48658936421627,High
Germany,2024,Phishing,Government,19.52,50054,Insider,Unpatched Software,Antivirus,24.0,9,389.978822871299,Low
Brazil,2020,DDoS,Telecommunications,4.52,52302,Unattributed,Social Engineering,VPN,58.0,5,86.42116936254828,Low
India,2015,Man-in-the-Middle,Banking,97.28,694308,Nation-state,Weak Passwords,VPN,66.0,0,140.11072895602527,High
China,2019,Malware,Telecommunications,62.67,520232,Nation-state,Weak Passwords,Encryption,53.0,4,120.46548462993434,Medium
Germany,2018,SQL Injection,Retail,46.34,575379,Unattributed,Zero-day,AI-based Detection,35.0,3,80.5382191564169,Medium
Russia,2023,Man-in-the-Middle,IT,26.45,850714,Hacker Group,Unpatched Software,Encryption,6.0,8,31.091530173477807,High
Germany,2023,SQL Injection,Healthcare,14.12,403325,Hacker Group,Weak Passwords,AI-based Detection,35.0,8,35.0089877890039,Low
Brazil,2022,Phishing,Education,80.99,345577,Insider,Unpatched Software,Encryption,4.0,7,234.36166180040917,High
Australia,2017,Man-in-the-Middle,IT,30.51,428352,Hacker Group,Unpatched Software,Firewall,41.0,2,71.22646795159122,Low
Brazil,2023,Phishing,Banking,69.45,852592,Nation-state,Zero-day,AI-based Detection,12.0,8,81.45748494004167,High
USA,2019,SQL Injection,Education,78.12,36804,Unattributed,Weak Passwords,VPN,30.0,4,2122.595370068471,High
Brazil,2020,Phishing,Telecommunications,92.63,725707,Hacker Group,Weak Passwords,AI-based Detection,9.0,5,127.64104521521772,High
Australia,2017,Man-in-the-Middle,Telecommunications,35.27,765929,Nation-state,Weak Passwords,Firewall,16.0,2,46.04865464031261,High
Russia,2017,Man-in-the-Middle,Retail,17.22,242574,Nation-state,Social Engineering,Encryption,59.0,2,70.98864676346187,Low
USA,2021,SQL Injection,Education,45.52,838652,Unattributed,Social Engineering,Encryption,20.0,6,54.27757878118695,High
Japan,2018,DDoS,Telecommunications,99.04,389405,Nation-state,Weak Passwords,Antivirus,53.0,3,254.33674452048638,High
Russia,2022,Phishing,Telecommunications,56.44,359577,Unattributed,Zero-day,Encryption,38.0,7,156.9622083726156,Medium
India,2022,Man-in-the-Middle,Telecommunications,73.24,943689,Insider,Zero-day,Firewall,32.0,7,77.61031441502445,High
Brazil,2024,SQL Injection,Education,14.69,783795,Insider,Weak Passwords,AI-based Detection,43.0,9,18.742145586537298,High
Germany,2017,DDoS,Healthcare,72.05,263506,Insider,Zero-day,Encryption,49.0,2,273.4283090328114,Medium
Australia,2020,DDoS,Telecommunications,20.59,457184,Insider,Social Engineering,VPN,11.0,5,45.036571708546234,Low
India,2019,SQL Injection,Banking,68.44,186842,Nation-state,Zero-day,VPN,40.0,4,366.29879791481574,Medium
UK,2018,DDoS,Banking,8.81,198929,Nation-state,Weak Passwords,AI-based Detection,41.0,3,44.28715772964223,Low
Japan,2018,SQL Injection,Retail,51.58,65700,Hacker Group,Zero-day,Encryption,28.0,3,785.0837138508372,Medium
Brazil,2021,Phishing,Telecommunications,83.79,90156,Hacker Group,Unpatched Software,Antivirus,65.0,6,929.3890589644616,High
Australia,2015,DDoS,Telecommunications,14.55,470471,Nation-state,Unpatched Software,VPN,53.0,0,30.926454552990513,Low
China,2021,Malware,Retail,20.52,33426,Unattributed,Social Engineering,Antivirus,16.0,6,613.8933764135703,Low
Russia,2024,Malware,Education,83.29,143037,Insider,Unpatched Software,Firewall,47.0,9,582.2968882177339,High
Germany,2022,Ransomware,Telecommunications,79.77,151930,Unattributed,Zero-day,Encryption,4.0,7,525.0444283551635,High
China,2018,Malware,Education,97.2,499651,Nation-state,Zero-day,Encryption,50.0,3,194.53578597861306,High
Brazil,2017,DDoS,Education,41.63,249211,Insider,Zero-day,AI-based Detection,59.0,2,167.04720096624948,Low
Germany,2024,SQL Injection,IT,1.01,470074,Insider,Weak Passwords,Encryption,9.0,9,2.148597880333735,Low
Japan,2015,Phishing,Banking,87.5,429920,Nation-state,Zero-day,Encryption,37.0,0,203.52623743952364,High
Australia,2019,SQL Injection,Healthcare,0.75,269314,Unattributed,Social Engineering,VPN,64.0,4,2.78485336818732,Low
UK,2019,Man-in-the-Middle,Healthcare,37.16,696199,Nation-state,Weak Passwords,Encryption,42.0,4,53.37554348684787,Medium
Russia,2020,Phishing,Banking,98.38,355505,Nation-state,Unpatched Software,AI-based Detection,35.0,5,276.73309798737006,High
Australia,2023,DDoS,IT,55.94,890234,Nation-state,Unpatched Software,VPN,53.0,8,62.83741128736939,High
Brazil,2019,Ransomware,Telecommunications,23.63,581616,Insider,Social Engineering,Encryption,1.0,4,40.6281807928255,Medium
China,2021,SQL Injection,IT,39.44,155768,Nation-state,Social Engineering,AI-based Detection,19.0,6,253.19706229777617,Low
Australia,2024,Malware,Telecommunications,83.69,824298,Nation-state,Unpatched Software,Firewall,4.0,9,101.52881603497764,High
UK,2018,Malware,Government,28.88,212533,Insider,Unpatched Software,Antivirus,71.0,3,135.88478024589122,Low
Brazil,2019,Ransomware,Banking,10.1,47737,Hacker Group,Social Engineering,Encryption,69.0,4,211.5759264302323,Low
Brazil,2018,Man-in-the-Middle,IT,47.01,940513,Unattributed,Unpatched Software,Encryption,10.0,3,49.983360144942175,High
Russia,2021,Man-in-the-Middle,Banking,18.66,292992,Insider,Zero-day,Encryption,15.0,6,63.68774574049804,Low
Germany,2024,Malware,Telecommunications,79.72,639779,Nation-state,Zero-day,Antivirus,6.0,9,124.60552784633444,High
Australia,2019,DDoS,Banking,29.85,949862,Hacker Group,Weak Passwords,Firewall,25.0,4,31.425617616032646,High
USA,2021,Phishing,Healthcare,0.92,260396,Hacker Group,Zero-day,Antivirus,16.0,6,3.533080385259374,Low
Australia,2024,Phishing,IT,92.48,215376,Nation-state,Social Engineering,Firewall,18.0,9,429.3886041155932,High
France,2016,DDoS,Telecommunications,20.09,689397,Insider,Social Engineering,AI-based Detection,68.0,1,29.141409086491528,Medium
Brazil,2016,SQL Injection,Education,16.24,238092,Nation-state,Zero-day,AI-based Detection,32.0,1,68.20892764141591,Low
India,2019,Phishing,Banking,18.42,289539,Nation-state,Unpatched Software,Antivirus,27.0,4,63.618372654461055,Low
Russia,2020,DDoS,Healthcare,49.02,382327,Insider,Zero-day,VPN,30.0,5,128.21485273077758,Low
Australia,2018,Phishing,Government,12.43,605810,Unattributed,Zero-day,Firewall,41.0,3,20.517984186461103,Medium
Australia,2019,DDoS,Banking,1.27,588345,Insider,Unpatched Software,Firewall,49.0,4,2.158597421580875,Medium
UK,2019,Phishing,Government,21.58,831367,Insider,Social Engineering,Antivirus,55.0,4,25.95724872408936,High
Brazil,2019,Man-in-the-Middle,Banking,14.64,880671,Hacker Group,Social Engineering,Firewall,66.0,4,16.623688074207053,High
France,2023,DDoS,Retail,92.32,418211,Insider,Unpatched Software,Encryption,39.0,8,220.74981289349157,High
France,2022,Man-in-the-Middle,Retail,31.4,264380,Insider,Zero-day,VPN,37.0,7,118.76843936757697,Low
Brazil,2017,Phishing,Banking,9.25,437974,Hacker Group,Zero-day,Encryption,20.0,2,21.119975158342733,Low
India,2021,Phishing,IT,37.1,713949,Hacker Group,Unpatched Software,Antivirus,71.0,6,51.96449606344431,Medium
USA,2022,SQL Injection,IT,8.5,523164,Hacker Group,Weak Passwords,AI-based Detection,30.0,7,16.247295303193646,Medium
UK,2015,DDoS,Telecommunications,85.23,193852,Insider,Zero-day,VPN,54.0,0,439.6653116810763,High
UK,2024,DDoS,Retail,14.09,655640,Nation-state,Zero-day,Firewall,61.0,9,21.490452077359528,Medium
France,2021,Phishing,IT,76.02,573328,Insider,Zero-day,AI-based Detection,10.0,6,132.59425669075992,High
UK,2019,Malware,Government,46.27,798717,Hacker Group,Social Engineering,Encryption,10.0,4,57.930405888443595,High
Brazil,2019,DDoS,Telecommunications,59.86,899413,Nation-state,Weak Passwords,Encryption,11.0,4,66.55451944768421,High
France,2017,SQL Injection,Healthcare,18.75,436009,Nation-state,Social Engineering,AI-based Detection,44.0,2,43.0036994649193,Low
UK,2020,SQL Injection,Retail,56.3,142291,Nation-state,Weak Passwords,VPN,29.0,5,395.66803241245054,Medium
Germany,2019,Man-in-the-Middle,Government,64.8,276197,Unattributed,Zero-day,Firewall,2.0,4,234.61514788357584,Medium
Russia,2020,Ransomware,IT,33.61,807918,Hacker Group,Social Engineering,Antivirus,37.0,5,41.60075651241834,High
France,2021,Man-in-the-Middle,Telecommunications,90.99,483484,Hacker Group,Unpatched Software,VPN,2.0,6,188.1965070198807,High
Russia,2015,Ransomware,IT,41.79,7290,Insider,Weak Passwords,AI-based Detection,32.0,0,5732.510288065843,Low
India,2022,DDoS,IT,38.69,333967,Insider,Zero-day,Firewall,26.0,7,115.84976958801319,Low
China,2020,Man-in-the-Middle,Education,84.4,840118,Hacker Group,Zero-day,Encryption,58.0,5,100.46207794619328,High
USA,2024,Malware,Healthcare,69.46,187312,Nation-state,Zero-day,VPN,58.0,9,370.82514734774065,Medium
Brazil,2024,DDoS,IT,34.46,470727,Unattributed,Weak Passwords,Firewall,8.0,9,73.20591340628432,Low
India,2023,Malware,Education,95.97,629490,Hacker Group,Zero-day,VPN,38.0,8,152.45675070295002,High
France,2021,SQL Injection,Government,98.76,904598,Hacker Group,Social Engineering,AI-based Detection,11.0,6,109.17556748964734,High
USA,2017,Ransomware,Education,12.59,820632,Unattributed,Social Engineering,AI-based Detection,65.0,2,15.341834098597179,High
Japan,2019,DDoS,Retail,78.78,214152,Insider,Weak Passwords,Firewall,7.0,4,367.86955059957415,High
Australia,2024,DDoS,Banking,21.11,18766,Insider,Weak Passwords,Firewall,43.0,9,1124.9067462432058,Low
France,2020,Malware,Banking,50.19,760230,Nation-state,Zero-day,VPN,56.0,5,66.0194941004696,High
India,2021,Ransomware,Healthcare,76.83,603402,Insider,Zero-day,AI-based Detection,57.0,6,127.32804995674526,High
France,2020,Man-in-the-Middle,Healthcare,17.49,693907,Hacker Group,Zero-day,AI-based Detection,54.0,5,25.205106736205284,Medium
Brazil,2017,SQL Injection,Banking,66.78,698892,Unattributed,Zero-day,AI-based Detection,24.0,2,95.55124396902525,Medium
UK,2015,Phishing,IT,24.17,64082,Unattributed,Social Engineering,Antivirus,16.0,0,377.17299709746885,Low
USA,2022,Ransomware,IT,38.84,687052,Nation-state,Unpatched Software,Encryption,34.0,7,56.53138335962926,Medium
Russia,2018,Phishing,Government,14.98,417488,Hacker Group,Weak Passwords,Encryption,23.0,3,35.88127083892232,Low
Germany,2020,Ransomware,Telecommunications,15.14,970038,Nation-state,Zero-day,Firewall,47.0,5,15.607635989517936,High
Japan,2016,SQL Injection,Government,10.4,240441,Unattributed,Zero-day,Antivirus,17.0,1,43.253854375917584,Low
India,2020,Man-in-the-Middle,Banking,59.67,747418,Insider,Unpatched Software,VPN,20.0,5,79.83484475888994,High
Japan,2019,Malware,Retail,36.66,977185,Insider,Social Engineering,Antivirus,71.0,4,37.515925848227305,High
India,2019,Malware,Retail,58.98,267401,Unattributed,Zero-day,Firewall,20.0,4,220.56761193862403,Medium
Germany,2022,Ransomware,Retail,19.47,496271,Hacker Group,Unpatched Software,AI-based Detection,20.0,7,39.2325967062351,Medium
France,2015,Phishing,Banking,64.62,104619,Insider,Unpatched Software,Antivirus,68.0,0,617.6698305279157,Medium
Russia,2024,Ransomware,Healthcare,98.25,877571,Insider,Weak Passwords,Antivirus,19.0,9,111.95675335670846,High
Japan,2020,Ransomware,Healthcare,41.88,93314,Hacker Group,Unpatched Software,VPN,24.0,5,448.8072529309643,Low
Brazil,2020,DDoS,Government,13.22,790415,Hacker Group,Zero-day,Encryption,52.0,5,16.72539109202128,High
Germany,2020,Ransomware,IT,54.65,107180,Nation-state,Zero-day,Antivirus,68.0,5,509.88990483299125,Medium
Japan,2018,Phishing,IT,72.01,401960,Nation-state,Unpatched Software,VPN,44.0,3,179.14717882376357,Medium
